Date,neg,neu,pos,compound
2022-06-08,0.0,0.75825,0.24175,0.3749
2022-06-09,0.142,0.646,0.212,0.17789999999999997
2022-06-10,0.1125,0.8875,0.0,-0.2202
2022-06-13,0.158,0.8420000000000001,0.0,-0.20095
2022-06-14,0.0,0.96075,0.03925,0.0193
2022-06-15,0.0,1.0,0.0,0.0
2022-06-16,0.095,0.7975000000000001,0.10743749999999999,0.05565625
2022-06-17,0.0365,0.8155,0.14825,0.174475
2022-06-19,0.04,0.878,0.082,-0.004250000000000004
2022-06-20,0.10733333333333334,0.8216666666666667,0.071,-0.21989999999999998
2022-06-21,0.161,0.521,0.318,0.3182
2022-06-22,0.029199999999999997,0.5874,0.3836,0.6330199999999999
2022-06-24,0.142,0.676,0.182,0.1531
2022-06-25,0.0,1.0,0.0,0.0
2022-06-26,0.0,0.404,0.596,0.8957
2022-06-27,0.0,0.9785714285714285,0.02142857142857143,0.045457142857142856
2022-06-28,0.0,0.9700000000000001,0.03,0.08510000000000001
2022-06-29,0.0,0.82,0.18,0.5106
2022-07-01,0.143,0.857,0.0,-0.128
2022-07-05,0.073,0.601,0.3265,0.46429999999999993
2022-07-06,0.0,1.0,0.0,0.0
2022-07-10,0.2353333333333333,0.5526666666666666,0.212,-0.014799999999999999
2022-07-11,0.0334,0.9332,0.0334,-0.035899999999999994
2022-07-13,0.0,0.775,0.225,0.4404
2022-07-14,0.0,0.722,0.278,0.4939
2022-07-15,0.0515,0.7815000000000001,0.167,0.28914999999999996
2022-07-18,0.244,0.756,0.0,-0.4404
2022-07-19,0.0,0.957,0.043,0.1101
2022-07-20,0.0382,0.8627499999999999,0.09905,0.13895499999999997
2022-07-21,0.05,0.881375,0.06862499999999999,0.024587499999999998
2022-07-24,0.0,0.9025000000000001,0.0975,0.2202
2022-07-25,0.0,0.662,0.338,0.5574
2022-07-26,0.0,0.8302499999999999,0.16975,0.257675
2022-07-27,0.0,1.0,0.0,0.0
2022-07-28,0.0,0.795,0.205,0.2023
2022-07-29,0.0,1.0,0.0,0.0
2022-08-02,0.0,0.824,0.176,0.4588
2022-08-03,0.0,1.0,0.0,0.0
2022-08-04,0.0,0.9573333333333333,0.042666666666666665,0.07543333333333334
2022-08-05,0.0,1.0,0.0,0.0
2022-08-11,0.0,0.647,0.353,0.7184
